Keyword,Script,Name,Description
ord,"if (args.length > 1 && args[args.length-1].match(/^-/)) {
	var lang = args.pop().replace(/^-/, '')
	location=""http://ord.zeke.xxx/?lang="" + lang + ""&query=""+args.join("" "");
} else {
	location=""http://ord.zeke.xxx/?query=""+args.join("" "");
}",Ord,
flip,"(function (d, w, p, s, r, t, l) {
    t = (w.screenTop || w.screenY) + 50;
    l = (w.screenX || w.screenLeft) + (w.innerWidth || d.documentElement.offsetWidth || 0) / 2 - s / 2;
    w.__flipboard = w.open('https://share.flipboard.com/bookmarklet/popout?v=2&title=' + encodeURIComponent(d.title) + '&url=' + encodeURIComponent(w.location.href) + '&t=' + p, '__flipboard_flipit', 'width=' + s + ',height=' + r + ',top=' + t + ',left=' + l + ',location=yes,resizable=yes,status=no,scrollbars=no,personalbar=no,toolbar=no,menubar=no');
    s = d.createElement('script');
    s.setAttribute('type', 'text/javascript');
    s.setAttribute('src', 'https://d2jsycj2ly2vqh.cloudfront.net/bookmarklet/js/popout-helper.min.js?t=' + p);
    d.body.appendChild(s);
    setTimeout(function () {
        w.__flipboard.focus()
    }, 50);
})(document, window, (new Date().getTime()), 535, 565)",Save Current Page to Flipboard,
ghub,"location=""https://ghub.io/""+args[0];","Redirect to a npm package's GitHub page, if available.",
pulls,"/*
Usage:
pulls devcenter             # github.com/heroku/devcenter/pulls
pulls zeke/queriac          # github.com/zeke/queriac/pulls
*/

// Assume github user is 'heroku' if no slash is present in first arg
if (args[0].indexOf(""/"") == -1) {
 args[0] = ""heroku/""+args[0]; 
}

location=""https://github.com/"" + args[0] + ""/pulls""",Github Pull Requests,
group,"location=""https://groups.google.com/a/heroku.com/forum/#!forum/"" + args[0]",Google Groups Jump,
gl,"location=""http://www.google.com/search?btnI=I'm%20Feeling%20Lucky&q=site:github.com ""+args.join("" "");",Github Lucky,
fish,location='https://vault-reports.herokuapp.com/fishing-pole/'+args[0];,Heroku Fishing Pole Search,
npms,"location=""https://npmjs.org/search?q=""+args.join("" "");",npm Search,
gs,"location=""https://github.com/search?type=Code&q=""+args.join(' ');",Github Search,""
markup,"if(!this.JSON)this.JSON={};
(function(){function v(j){return j<10?""0""+j:j}function A(j){B.lastIndex=0;return B.test(j)?'""'+j.replace(B,function(o){var i=w[o];return typeof i===""string""?i:""\\u""+(""0000""+o.charCodeAt(0).toString(16)).slice(-4)})+'""':'""'+j+'""'}function y(j,o){var i,k,m,r,l=p,n,e=o[j];if(typeof t===""function"")e=t.call(o,j,e);switch(typeof e){case ""string"":return A(e);case ""number"":return isFinite(e)?String(e):""null"";case ""boolean"":case ""null"":return String(e);case ""object"":if(!e)return""null"";p+=z;n=[];if(Object.prototype.toString.apply(e)===
""[object Array]""){r=e.length;for(i=0;i<r;i+=1)n[i]=y(i,e)||""null"";m=n.length===0?""[]"":p?""[\n""+p+n.join("",\n""+p)+""\n""+l+""]"":""[""+n.join("","")+""]"";p=l;return m}if(t&&typeof t===""object""){r=t.length;for(i=0;i<r;i+=1){k=t[i];if(typeof k===""string"")if(m=y(k,e))n.push(A(k)+(p?"": "":"":"")+m)}}else for(k in e)if(Object.hasOwnProperty.call(e,k))if(m=y(k,e))n.push(A(k)+(p?"": "":"":"")+m);m=n.length===0?""{}"":p?""{\n""+p+n.join("",\n""+p)+""\n""+l+""}"":""{""+n.join("","")+""}"";p=l;return m}}if(typeof Date.prototype.toJSON!==""function""){Date.prototype.toJSON=
function(){return isFinite(this.valueOf())?this.getUTCFullYear()+""-""+v(this.getUTCMonth()+1)+""-""+v(this.getUTCDate())+""T""+v(this.getUTCHours())+"":""+v(this.getUTCMinutes())+"":""+v(this.getUTCSeconds())+""Z"":null};String.prototype.toJSON=Number.prototype.toJSON=Boolean.prototype.toJSON=function(){return this.valueOf()}}var C=/[\u0000\u00ad\u0600-\u0604\u070f\u17b4\u17b5\u200c-\u200f\u2028-\u202f\u2060-\u206f\ufeff\ufff0-\uffff]/g,B=/[\\\""\x00-\x1f\x7f-\x9f\u00ad\u0600-\u0604\u070f\u17b4\u17b5\u200c-\u200f\u2028-\u202f\u2060-\u206f\ufeff\ufff0-\uffff]/g,
p,z,w={""\u0008"":""\\b"",""\t"":""\\t"",""\n"":""\\n"",""\u000c"":""\\f"",""\r"":""\\r"",'""':'\\""',""\\"":""\\\\""},t;if(typeof JSON.stringify!==""function""||'{""a"":[1]}'!=JSON.stringify({a:[1]}))JSON.stringify=function(j,o,i){var k;z=p="""";if(typeof i===""number"")for(k=0;k<i;k+=1)z+="" "";else if(typeof i===""string"")z=i;if((t=o)&&typeof o!==""function""&&(typeof o!==""object""||typeof o.length!==""number""))throw Error(""JSON.stringify"");return y("""",{"""":j})};if(typeof JSON.parse!==""function"")JSON.parse=function(j,o){function i(m,r){var l,
n,e=m[r];if(e&&typeof e===""object"")for(l in e)if(Object.hasOwnProperty.call(e,l)){n=i(e,l);if(n!==undefined)e[l]=n;else delete e[l]}return o.call(m,r,e)}var k;j=String(j);C.lastIndex=0;if(C.test(j))j=j.replace(C,function(m){return""\\u""+(""0000""+m.charCodeAt(0).toString(16)).slice(-4)});if(/^[\],:{}\s]*$/.test(j.replace(/\\(?:[""\\\/bfnrt]|u[0-9a-fA-F]{4})/g,""@"").replace(/""[^""\\\n\r]*""|true|false|null|-?\d+(?:\.\d*)?(?:[eE][+\-]?\d+)?/g,""]"").replace(/(?:^|:|,)(?:\s*\[)+/g,""""))){k=eval(""(""+j+"")"");return typeof o===
""function""?i({"""":k},""""):k}throw new SyntaxError(""JSON.parse"");}})();
(function(){function v(a,b){function c(){e(""html"")[0].style.overflowY=""hidden"";b.apply(d,arguments)}var d=document.createElement(""iframe"");with(d){id=""markup-ui"";className=""added-by-markup"";frameBorder=""0"";allowTransparency=""true"";with(style){position=""absolute"";left=top=""0px"";width=height=""100%"";borderStyle=""none"";zIndex=""5000"";visibility=""hidden"";overflow=""auto""}}d.addEventListener?d.addEventListener(""load"",c,false):d.attachEvent(""onreadystatechange"",c);d.src=H+""/ui""+a.uri;x.appendChild(d)}function A(){var a=
[].concat(e(""script"")||[]).concat(e(""style"")||[]).concat(e(""link"")||[]).concat(function(b){for(var c=[],d=0,h=b.length;d<h;d++)c.push(b.item(d));return c}(document.body.childNodes)||[]);r(a,function(b){/added-by-markup/.test(b.className)||w(b)})}function y(){function a(d){c(d)}function b(){function d(f){var g=new XMLHttpRequest;if(""withCredentials""in g)g.open(f.type,f.url,true);else{g=flensed.flXHR({instancePooling:true,xmlResponseText:false,autoUpdatePlayer:true});if(f.type==""get""&&!f.headers)g.open(f.type,
f.url,true);else{g.open(""post"",f.url);g.setRequestHeader(""X-HTTP-Method-Override"",f.type);f.data=f.data||""{}""}}return g}function h(f,g){var q=document.createElement(""script""),s=0,E;document.getElementsByTagName(""head"")[0].appendChild(q);q.src=f;q.type=""text/javascript"";E=setInterval(function(){if(g()){if(s++>50){clearInterval(E);throw""Could not load: ""+f;}}else clearInterval(E)},50)}c=function(f){var g=d(f);if(f.headers)for(var q in f.headers)g.setRequestHeader(q,f.headers[q]);g.onreadystatechange=
function(){try{if(g.readyState==4)if(g.status>=200&&g.status<300)f.success&&f.success(JSON.parse(g.responseText));else f.error&&f.error(g,g.status)}catch(s){console.log(s.toString())}};g.onerror=function(s){console.log(""Error:"",s.status);s.status=s.status||s.number;f.error&&f.error(s,s.status)};if(f.data){g.setRequestHeader(""Content-Type"",""application/json"");g.send(JSON.stringify(f.data))}else g.send()};c.setup=function(f,g){var q=new XMLHttpRequest;if(typeof f==""function""){g=f;f=F}if(""withCredentials""in
q)g();else{f=f||""/flensed"";if(typeof flensed==""undefined"")window.flensed={base_path:f+""/""};flensed.flXHR?g():h(f+""/flXHR.js?cache=false-""+(new Date).getTime(),function(){if(!flensed.flXHR)return true;flensed.flXHR.module_ready();g()})}}}var c;return{start_draft:function(d){a({type:""post"",url:MarkUp.api_uri+""/draft"",data:{html:u.html,width:u.width,height:u.height,useragent:u.useragent,location:u.location,client:MarkUp.client_id,version:MarkUp.api_version},success:d,error:function(h){console.log(h)}})},
setup:function(){b();c.setup.apply(c,arguments);D.xdom=c}}}function C(){e(""frameset"").length&&function(){var a=e(""html"")[0],b=document.createElement(""body""),c=e(""frameset"")[0];a.appendChild(b);b.appendChild(c)}()}function B(){var a=[""lib"",""pagefix""];if(!(document.getElementsByTagName(""base"").length>0)){var b=document.getElementsByTagName(""head"")[0],c=document.createElement(""base"");c.href=document.location.href;if(b&&b.firstChild)b.insertBefore(c,b.firstChild);else b&&b.appendChild(c)}m(e(""script""),
w);p()&&a.push(""svg"");add_js(I+""/dynamic/pagefix??""+a.join("",""));a=document.getElementsByTagName(""*"");b=[""onload"",""onunload"",""onmouseover"",""onmouseout"",""onclick"",""onmousedown"",""onmouseup""];c=0;for(var d=a.length;c<d;c++)for(var h=0,f=b.length;h<f;h++)try{if(b[h]in a[c]&&a[c][b[h]]!==null){a[c][b[h]]=null;a[c].removeAttribute(b[h])}}catch(g){}}function p(){var a=false;r(e(""svg""),function(b){var c=l(""script"",{type:""image/svg+xml""});b.parentNode.insertBefore(c,b);c.innerHTML=t(b);b.parentNode.removeChild(b);
a=true});return a}function z(){var a=k(),b=a.body;a=a.window;var c=t(document),d=[document.getElementsByTagName(""html"")[0]];return{html:c,nodes:Array.prototype.slice.call(d),width:a.width-b.width<17?b.width:a.width>b.width?a.width:b.width,height:a.height>b.height?a.height:b.height,useragent:window.navigator.userAgent,location:window.location.href}}function w(a){a&&a.parentNode&&a.parentNode.removeChild(a)}function t(a){try{return(new XMLSerializer).serializeToString(a)}catch(b){try{for(var c=[],d=
0,h=document.childNodes.length;d<h;d++){a=document.childNodes[d];/!/.test(a.tagName)&&a.data?c.push(""<!""+a.data+"">""):c.push(a.outerHTML||"""")}return c.join(""\n"")}catch(f){console.error(""Cannot serialize DOM."")}}return false}function j(){var a=/MSIE ([^;]+);/.exec(window.navigator.userAgent),b=a?parseInt(a[1]):F;if(!a||b>6)return false;a=""mu-""+(new Date).getTime();var c=""#""+a,d=k();b=d.window.width>d.body.width?d.window.width:d.body.width;d=d.window.height>d.body.height?d.window.height:d.body.height;
var h=l(""div"",{id:a});x.appendChild(l(""div"",{id:a+""-backdrop""}));x.appendChild(h);h.innerHTML='<a href=""#"" id=""'+a+'-close"">Close</a><h1>Oops&hellip;</h1><p class=""first"">Markup\'s drawing tools don\'t work very well in Internet Explorer just yet.</p><p>Stay tuned to <a target=""_blank"" href=""http://twitter.com/markupio"">@markupio</a> on Twitter to be the first to know when we get it ready.</p><p>Until then, please try another browser like <a target=""_blank"" href=""http://www.google.com/chrome"">Google Chrome</a>, <a target=""_blank"" href=""http://www.apple.com/safari/"">Safari</a>, <a target=""_blank"" href=""http://getfirefox.com"">Firefox</a>, or <a  target=""_blank"" href=""http://opera.com/"">Opera</a>. (All of which are free to download and use).</p><style type=""text/css"">'+
c+""{position:absolute; top:50px; left:50%;z-index:32000;width:380px; margin-left:-190px; padding:20px;text-align:left;background:#111;}""+c+"" h1 {color:#edeae1; font-family:helvetica,arial,sans-serif; font-size:28px; line-height:28px; font-weight:bold; margin:0px 0px 20px; padding:0px;}""+c+"" p {color:#ccc; font-family:helvetica,arial,sans-serif; font-size:12px; line-height:18px; font-weight:normal; margin:0px 0px 10px; padding:0px;}""+c+"" a {color:#fff; text-decoration:underline;}""+c+"" p.first {color:#fff;font-size:18px; line-height:22px;border-bottom:1px #fff solid;padding-bottom:10px; margin-bottom:20px;}#""+
a+""-close {display: block;position: absolute; top: -5px; left: -5px;width: 21px; height: 21px;text-indent:-9999px; border: none; cursor: pointer;background:url(""+G+""/client/assets/images/close.gif) no-repeat;}#""+a+""-backdrop {position:absolute; top:0px; left:0px;background:#fff; z-index:4999;opacity: 0.4; filter:alpha(opacity=40);margin-left: -20px; width:""+b+""px; height:""+d+""px;}</style>"";window.close=e(c+""-close"");window.K=e;e(c+""-close"").onclick=function(){x.removeChild(e(c+""-backdrop""));x.removeChild(e(c));
return false};return true}function o(){var a=J,b=a.window.width>a.body.width?a.window.width:a.body.width;a=a.window.height>a.body.height?a.window.height:a.body.height;x.appendChild(l(""div"",{id:""markup_loading"",style:""position:fixed; top:-5px; right:10px;                   height:40px;                   color:#ccc; font-family:Tahoma;                   font-size:12px; line-height:12px;                   font-family:helvetica, arial, sans-serif;                   -moz-border-radius:3px; -webkit-border-radius:4px;                   cursor:default;                   background: #222;                   background: -moz-linear-gradient(top, rgba(70,70,70,0.95), rgba(6,6,6,0.95));                   background: -webkit-gradient(linear, left top, left bottom, from(rgba(70,70,70,0.95)), to(rgba(6,6,6,0.95)));                   z-index:5000;""})).appendChild(l(""div"",
{style:""padding:15px 20px 7px 20px;""},""MarkUp &mdash; Loading&hellip;""));x.appendChild(l(""div"",{id:""markup_loading_backdrop"",style:""position:fixed; top:0px; left:0px;                  background:#eee; z-index:4999;                  opacity: 0.5; filter:alpha(opacity=50);                  margin-left: 0px;                  width:""+b+""px; height:""+a+""px;""}))}function i(a){if(!a)return[];if(""toArray""in Object(a))return a.toArray();for(var b=a.length||0,c=[],d=0;d<b;d++)c.push(a[d]);return c}function k(){return{window:window.innerHeight!==
F?{width:window.innerWidth,height:window.innerHeight}:document.documentElement.clientWidth?{width:document.documentElement.clientWidth,height:document.documentElement.clientHeight}:{width:document.body.clientWidth,height:document.body.clientHeight},body:{width:K.scrollWidth,height:K.scrollHeight}}}function m(a,b){for(var c=i(a),d=0,h=c.length;d<h;d++)c[d]=b.call(c,c[d],d,h);return c}function r(a,b){for(var c=i(a),d=0,h=c.length;d<h;d++)b.call(c,c[d],d,h);return c}function l(a,b,c){var d=document.createElementNS?
document.createElementNS(""http://www.w3.org/1999/xhtml"",a):document.createElement(a);b=b||{};b.className=""added-by-markup""+(b.className?"" ""+b.className:"""");for(q in b)if(q!=""style"")d[q]=b[q];if(b.style){b=b.style.split("";"");for(var h=0,f=b.length-1;h<f;h++){var g=b[h].split("":""),q=g[0].replace(/^\s+|\s+$/,"""").toLowerCase().replace(/-(a-z)/gm,""$1"".toUpperCase());g=g[1].replace(/^\s+|\s+$/,"""");try{d.style[q]=g}catch(s){}}}if(!/html|head|body|style|link|meta|img/i.test(a))d.innerHTML=c||"""";return d}
function n(){for(var a=this.all||this.getElementsByTagName(""*""),b=[],c=0,d=a.length;c<d;c++)re.test(a[c].className)&&b.push(a[c]);return b}function e(a,b){var c=b||document;c.getElementsByClassName=c.getElementsByClassName||n;if(/,/.test(a))m(a.split(/\s*,\s*/),function(){});else return/^#/.test(a)?c.getElementById(a.substr(1)):/^\./.test(a)?i(c.getElementsByClassName(a)):i(c.getElementsByTagName(a))}var x=document.body,K=document.documentElement?document.documentElement:document.body;if(window.MarkUp)if(window.MarkUp.demo){w(document.getElementById(""markup-bar""));
_MarkUp=MarkUp;_Draw=Draw;_Ui=Ui}else{if(window.MarkUp.muid)return false}else{window.MarkUp={};window.add_js=window.add_js||function(a){var b=(document.getElementsByTagName(""head"")[0]||document.body).appendChild(document.createElement(""script""));b.src=a;b.type=""text/javascript""}}var F,I=window.MarkUp.base_uri||""http://markup.io"",G=window.MarkUp.static_uri||""http://markup.io/media"",H=window.MarkUp.api_uri||""http://api.markup.io"",M=parseInt(""1""),L=window.MarkUp&&window.MarkUp.id;r(e(""script""),function(a){if(a.markup)L=
a.markup});window.MarkUp={base_uri:I,api_uri:H,static_uri:G,muid:""muid_""+(new Date).getTime(),client_id:L,api_version:M};var u,J,D;MarkUp.check_in=function(){};if(typeof window.console===""undefined"")console={error:alert,log:alert};(function(){if(!j()){B();J=k();u=z();D=y();C();o();D.setup(G+""/flensed"",function(){D.start_draft(function(a){v(a,function(){w(e(""#markup_loading""));w(e(""#markup_loading_backdrop""));var b=u.width+""px"",c=u.height+""px"";with(e(""html"")[0].style){width=b;height=c;overflow=""hidden""}with(e(""body"")[0].style){width=
b;height=c;overflow=""hidden""}with(e(""#markup-ui"").style){width=b;height=c;visibility=""visible""}A();with(e(""html"")[0].style){margin=""0px"";height=width=""100%""}with(e(""body"")[0].style){margin=""0px"";height=width=""100%""}with(e(""#markup-ui"").style)height=width=""100%""})})})}})()})();",Markup.io,""
npm,"location=""https://npmjs.org/package/""+args[0];",Show NPM Module,""
mp3,"location=""http://www.amazon.com/s/ref=ntt_srch_drd_B0073QR2LO?ie=UTF8&index=digital-music&search-type=ss&field-keywords=""+args.join(' ');",Amazon MP3 Search,Search for downloadable music on Amazon
chrome,"location=""https://chrome.google.com/webstore/search/""+args.join(' ');",Google Chrome Store Search,""
noun,"location=""http://thenounproject.com/search/?q=""+args.join("" "");",The Noun Project,Vector icon search
pocket,(function(){ISRIL_H='3c8b';PKT_D='getpocket.com';ISRIL_SCRIPT=document.createElement('SCRIPT');ISRIL_SCRIPT.type='text/javascript';ISRIL_SCRIPT.src='https://'+PKT_D+'/b/r.js';document.getElementsByTagName('head')[0].appendChild(ISRIL_SCRIPT)})();,Save for Later with Pocket,""
ea,"window.location=""https://addons.heroku.com/marketplace/addons/""+ args[0] + ""/edit"";",Edit Addon,""
rotten,"window.location=""http://quickrotten.com/?q=""+args.join("" "");",QuickRotten,A minimalist interface for Rotten Tomatoes movies reviews
show,"window.location=""https://www.queriac.com/users/zeke/commands/""+args[0];",Show Queriac Command,""
tk,"window.location=""https://typekit.com/search?utf8=%E2%9C%93&q=""+args.join("" "");",Typekit Font Search,""
gem,"window.location=""http://rubygems.org/gems/""+args[0];",RubyGems Search,""
gms,"window.location=""https://mail.google.com/mail/u/0/#search/""+args.join("" "");",Gmail Search,""
twitch,"i=10;
setInterval(function() {
  $('body').css(""-webkit-transform"",""rotate(""+ (i=i*-1) +""deg)"")
},500)",Twitchy Page,""
http://www.flickr.com/photos/sikelianos/sets/,"var u == args[0] || ""sikelianos"";
window.location=""http://www.flickr.com/photos/""+u+""/sets/"";",My Flickr Sets,""
zep,"(function(){
  var s=document.createElement('script');
  s.setAttribute('src','https://queriac2.herokuapp.com/zepto.min.js');
  document.getElementsByTagName('head')[0].appendChild(s);
})();",Inject Zepto,""
c,"/*
Usage:
c addons               # github.com/heroku/addons/commits/master
c zeke/queriac2        # github.com/zeke/queriac2/commits/master
*/

// Assume github user is 'heroku' if no slash is present in first arg
if (args[0].indexOf(""/"") == -1) {
 args[0] = ""heroku/""+args[0]; 
}

window.location = ""https://github.com/"" + args[0] + ""/commits/master"";",Github Commits (Heroku),""
cheap,"window.location=""http://www.namecheap.com/domains/domain-name-search/results.aspx?domain=""+args[0];",Namecheap Domain Search,
devl,"window.location=""https://devcenter.heroku.com/articles/""+args[0]",Heroku Devcenter: I'm Feeling Lucky,
w,"window.location=""http://www.google.com/search?btnI=I'm%20Feeling%20Lucky&q=site:en.wikipedia.org ""+args.join("" "");",I'm Feeling Lucky for Wikipedia,
read,"
